"","Geo_FIPS","year","cluster"
"1",6001400100,2014,1
"2",6001400200,2014,2
"3",6001400300,2014,2
"4",6001400400,2014,2
"5",6001400500,2014,3
"6",6001400600,2014,3
"7",6001400700,2014,3
"8",6001400800,2014,3
"9",6001400900,2014,3
"10",6001401000,2014,3
"11",6001401100,2014,3
"12",6001401200,2014,2
"13",6001401300,2014,5
"14",6001401400,2014,3
"15",6001401500,2014,3
"16",6001401600,2014,3
"17",6001401700,2014,3
"18",6001401800,2014,3
"19",6001402200,2014,3
"20",6001402400,2014,3
"21",6001402500,2014,3
"22",6001402600,2014,5
"23",6001402700,2014,3
"24",6001402800,2014,5
"25",6001402900,2014,5
"26",6001403000,2014,7
"27",6001403100,2014,5
"28",6001403300,2014,5
"29",6001403400,2014,5
"30",6001403501,2014,5
"31",6001403502,2014,3
"32",6001403600,2014,5
"33",6001403701,2014,4
"34",6001403702,2014,4
"35",6001403800,2014,4
"36",6001403900,2014,3
"37",6001404000,2014,4
"38",6001404101,2014,2
"39",6001404102,2014,4
"40",6001404200,2014,1
"41",6001404300,2014,1
"42",6001404400,2014,1
"43",6001404501,2014,1
"44",6001404502,2014,1
"45",6001404600,2014,1
"46",6001404700,2014,1
"47",6001404800,2014,6
"48",6001404900,2014,1
"49",6001405000,2014,1
"50",6001405100,2014,1
"51",6001405200,2014,6
"52",6001405301,2014,4
"53",6001405302,2014,5
"54",6001405401,2014,5
"55",6001405402,2014,5
"56",6001405500,2014,5
"57",6001405600,2014,3
"58",6001405700,2014,3
"59",6001405800,2014,9
"60",6001405901,2014,9
"61",6001405902,2014,9
"62",6001406000,2014,5
"63",6001406100,2014,9
"64",6001406201,2014,9
"65",6001406202,2014,9
"66",6001406300,2014,9
"67",6001406400,2014,3
"68",6001406500,2014,9
"69",6001406601,2014,3
"70",6001406602,2014,3
"71",6001406700,2014,1
"72",6001406800,2014,1
"73",6001406900,2014,1
"74",6001407000,2014,9
"75",6001407101,2014,9
"76",6001407102,2014,9
"77",6001407200,2014,9
"78",6001407300,2014,6
"79",6001407400,2014,9
"80",6001407500,2014,9
"81",6001407600,2014,3
"82",6001407700,2014,10
"83",6001407800,2014,10
"84",6001407900,2014,1
"85",6001408000,2014,1
"86",6001408100,2014,1
"87",6001408200,2014,3
"88",6001408300,2014,10
"89",6001408400,2014,9
"90",6001408500,2014,9
"91",6001408600,2014,9
"92",6001408700,2014,9
"93",6001408800,2014,9
"94",6001408900,2014,9
"95",6001409000,2014,9
"96",6001409100,2014,9
"97",6001409200,2014,9
"98",6001409300,2014,9
"99",6001409400,2014,9
"100",6001409500,2014,9
"101",6001409600,2014,9
"102",6001409700,2014,9
"103",6001409800,2014,3
"104",6001409900,2014,10
"105",6001410000,2014,10
"106",6001410100,2014,3
"107",6001410200,2014,3
"108",6001410300,2014,9
"109",6001410400,2014,9
"110",6001410500,2014,3
"111",6001420100,2014,1
"112",6001420200,2014,8
"113",6001420300,2014,8
"114",6001420400,2014,4
"115",6001420500,2014,8
"116",6001420600,2014,2
"117",6001421100,2014,1
"118",6001421200,2014,1
"119",6001421300,2014,1
"120",6001421400,2014,1
"121",6001421500,2014,1
"122",6001421600,2014,1
"123",6001421700,2014,2
"124",6001421800,2014,1
"125",6001421900,2014,2
"126",6001422000,2014,3
"127",6001422100,2014,8
"128",6001422200,2014,2
"129",6001422300,2014,2
"130",6001422400,2014,4
